pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-150,z,11,3,47,3,,,,,137.42295280005783,,137.40695150010288,137.42295280005783,138.40689900005236,138.40689900005236,138.40689900005236,138.40689900005236,138.42023070005234,139.41982530010864,139.41982530010864,140.10516510007437,z,1,0.6751306999940425,None,640359,001,2024-10-11_12h17.30.967,motor sequence learning,2024.1.5,None,2024-10-11 12h17.43.770469 +0530,
150,v,,,,,0,0,0,1,140.12924540007953,,140.11952300008852,140.12924540007953,141.10630690003745,141.10630690003745,141.10630690003745,141.10630690003745,141.1360828001052,142.11869780009147,142.11869780009147,143.51892990001943,v,1,1.384652099921368,None,640359,001,2024-10-11_12h17.30.967,motor sequence learning,2024.1.5,None,2024-10-11 12h17.43.770469 +0530,
150,v,,,,,0,1,1,1,143.53748460009228,,143.5201905000722,143.53748460009228,144.52130320004653,144.52130320004653,144.52130320004653,144.52130320004653,144.53489090001676,145.5345203001052,145.5345203001052,145.80253090010956,c,0,0.2552077000727877,None,640359,001,2024-10-11_12h17.30.967,motor sequence learning,2024.1.5,None,2024-10-11 12h17.43.770469 +0530,
-150,z,,,,,0,2,2,3,145.82058010005858,,145.80423330003396,145.82058010005858,146.80577510001604,146.80577510001604,146.80577510001604,146.80577510001604,146.81757380010094,147.8167491001077,147.8167491001077,148.9524166000774,z,1,1.1268603999633342,None,640359,001,2024-10-11_12h17.30.967,motor sequence learning,2024.1.5,None,2024-10-11 12h17.43.770469 +0530,
150,v,,,,,0,3,3,1,148.9692062000977,,148.95381240011193,148.9692062000977,149.95309040008578,149.95309040008578,149.95309040008578,149.95309040008578,149.9662083000876,150.96542830008548,150.96542830008548,151.7835612000199,v,1,0.803219800000079,None,640359,001,2024-10-11_12h17.30.967,motor sequence learning,2024.1.5,None,2024-10-11 12h17.43.770469 +0530,
150,v,,,,,1,0,4,1,151.80134160001762,,151.78458400000818,151.80134160001762,152.78508310008328,152.78508310008328,152.78508310008328,152.78508310008328,152.79870670009404,153.7981555000879,153.7981555000879,154.56588350003585,v,1,0.7548064000438899,None,640359,001,2024-10-11_12h17.30.967,motor sequence learning,2024.1.5,None,2024-10-11 12h17.43.770469 +0530,
-50,x,,,,,1,1,5,0,154.58414900000207,,154.5679540000856,154.58414900000207,155.56949690007605,155.56949690007605,155.56949690007605,155.56949690007605,155.5809731000336,156.58083580003586,156.58083580003586,157.28259300009813,x,1,0.6873269999632612,None,640359,001,2024-10-11_12h17.30.967,motor sequence learning,2024.1.5,None,2024-10-11 12h17.43.770469 +0530,
50,c,,,,,1,2,6,2,157.2997652000049,,157.28425240004435,157.2997652000049,158.2831835000543,158.2831835000543,158.2831835000543,158.2831835000543,158.29665860009845,159.2964533000486,159.2964533000486,159.8978137000231,c,1,0.5919602999929339,None,640359,001,2024-10-11_12h17.30.967,motor sequence learning,2024.1.5,None,2024-10-11 12h17.43.770469 +0530,
-50,x,,,,,1,3,7,0,159.91515520005487,,159.8990616000956,159.91515520005487,160.89912380010355,160.89912380010355,160.89912380010355,160.89912380010355,160.91245720000006,161.91188010002952,161.91188010002952,162.53025740000885,x,1,0.6109945999924093,None,640359,001,2024-10-11_12h17.30.967,motor sequence learning,2024.1.5,None,2024-10-11 12h17.43.770469 +0530,
-150,z,,,,,2,0,8,3,162.54796800005715,,162.5312187001109,162.54796800005715,163.53145740006585,163.53145740006585,163.53145740006585,163.53145740006585,163.54527050000615,164.54469130001962,164.54469130001962,165.47951970004942,z,1,0.9236237000441179,None,640359,001,2024-10-11_12h17.30.967,motor sequence learning,2024.1.5,None,2024-10-11 12h17.43.770469 +0530,
